Year,Month,Day,Hour (at half hour point),DNI,Clearsky DNI,Cloud Type,Temperature (Celsius,Relative Humidity,Precipitable Water
2020,7,1,7,0,443,9,24.7,92.8,5.2
2020,7,2,7,0,519,6,24.8,91.36,4.2
2020,7,3,7,152,578,4,25.2,90.97,4.5
2020,7,4,7,488,488,0,24.9,86.09,4.6
2020,7,5,7,529,529,0,26.5,79.62,4.7
2020,7,6,7,355,588,7,25.5,83.85,3.5
2020,7,7,7,551,551,0,27.6,72.48,3.5
2020,7,8,7,676,676,0,27.7,76.48,3.4
2020,7,9,7,0,481,6,25.5,92.16,4.8
2020,7,10,7,558,680,7,24.7,71.89,3.1
2020,7,11,7,583,593,0,26.9,78.62,3.4
2020,7,12,7,777,777,0,23.3,65.77,1.4
2020,7,13,7,703,703,0,25.2,70.64,2.7
2020,7,14,7,2,565,7,26.3,75.89,4.6
2020,7,15,7,0,430,6,24.8,96.22,5.3
2020,7,16,7,151,632,7,23,90.75,3.6
2020,7,17,7,293,566,7,27.6,83.25,4
2020,7,18,7,79,540,4,27.1,80.93,4.4
2020,7,19,7,208,543,7,27.2,76.46,5.1
2020,7,20,7,0,514,6,25.8,87.31,5.4
2020,7,21,7,2,603,8,24.4,93.21,4.6
2020,7,22,7,642,642,0,25.5,77.79,3.9
2020,7,23,7,641,641,0,26.4,80.95,3.9
2020,7,24,7,569,666,0,27.6,81.21,4.1
2020,7,25,7,523,638,7,28,78.72,4.7
2020,7,26,7,694,694,0,27.8,78.4,4
2020,7,27,7,2,597,4,25.3,92.7,5.6
2020,7,28,7,11,672,3,25.1,84.08,3.9
2020,7,29,7,41,466,4,23.7,87.89,6.1
2020,7,30,7,134,559,3,24.6,90.85,4.7
2020,7,31,7,0,579,8,21.2,94.14,3.8
2020,7,1,8,55,538,6,25.5,89.36,5.2
2020,7,2,8,0,647,6,25.8,87.59,4.1
2020,7,3,8,478,695,3,26.6,84.88,4.5
2020,7,4,8,597,597,0,26.5,78.54,4.5
2020,7,5,8,640,640,0,27.9,72.89,4.7
2020,7,6,8,680,694,0,27.9,73.67,3.5
2020,7,7,8,660,660,0,29.8,63.93,3.6
2020,7,8,8,768,768,0,29.9,67.8,3.4
2020,7,9,8,3,610,6,27,87.59,4.7
2020,7,10,8,487,781,7,27.1,63.1,3.1
2020,7,11,8,701,701,0,28.8,70.11,3.5
2020,7,12,8,861,861,0,25.9,56.85,1.4
2020,7,13,8,485,803,7,27.5,62.27,2.6
2020,7,14,8,7,672,6,28.3,73.39,4.7
2020,7,15,8,0,568,6,25.5,91.93,5.1
2020,7,16,8,107,733,6,24.4,82.39,3.7
2020,7,17,8,383,683,7,29.1,78.41,4.1
2020,7,18,8,494,664,0,28.9,72.85,4.4
2020,7,19,8,300,661,7,28.4,73.57,5.2
2020,7,20,8,0,628,6,27,83.01,5.4
2020,7,21,8,0,700,8,24.9,88.79,4.6
2020,7,22,8,743,743,0,27.7,68.21,3.9
2020,7,23,8,745,745,0,28.5,73.64,3.9
2020,7,24,8,330,764,7,29.4,75.5,4.2
2020,7,25,8,743,743,0,29.5,73.4,4.8
2020,7,26,8,789,789,0,29.5,72.25,4
2020,7,27,8,0,721,8,26.1,88.4,5.6
2020,7,28,8,94,773,3,26.5,77.75,4
2020,7,29,8,230,591,3,24.6,86.23,6
2020,7,30,8,135,689,3,25.2,87.48,4.8
2020,7,31,8,5,700,8,22.1,91.09,3.6
2020,7,1,9,146,602,6,26.3,86,5.1
2020,7,2,9,43,731,6,26.7,84.52,4.1
2020,7,3,9,81,763,4,27.7,79.68,4.6
2020,7,4,9,246,670,3,27.5,75.3,4.4
2020,7,5,9,711,711,0,29,68.87,4.7
2020,7,6,9,760,760,0,29.7,62.76,3.6
