air_temp,clearsky_dhi,cloud_opacity,dni,ghi,hour
22,0,66,0,0,8
22,0,0.3,0,0,8
23,0,2.6,0,0,8
23,0,13.7,0,0,8
24,0,23.9,0,0,8
24,0,25.8,0,0,8
24,0,68.8,0,0,8
23,0,24.5,0,0,8
22,0,64.5,0,0,8
19,0,0,0,0,8
19,0,0,0,0,8
21,0,0,0,0,8
26,0,18.1,0,0,8
24,0,0.1,0,0,8
27,0,44.6,0,0,8
23,0,0,0,0,8
23,0,3.1,0,0,8
23,0,0,0,0,8
21,0,80.8,0,0,8
23,0,27.6,0,0,8
23,0,2.1,0,0,8
22,0,14.2,0,0,8
20,0,0,0,0,8
21,0,0,0,0,8
23,0,0,0,0,8
25,0,25.5,0,0,8
27,0,24.1,0,0,8
27,0,0,0,0,8
27,0,3,0,0,8
23,0,36.6,0,0,8
23,0,0,0,0,8
22,0,84.9,0,0,9
21,0,4.4,0,0,9
23,0,3.1,0,0,9
22,0,11.1,0,0,9
24,0,27.6,0,0,9
24,0,10.9,0,0,9
23,0,63.9,0,0,9
23,0,16.9,0,0,9
22,0,32.3,0,0,9
18,0,0,0,0,9
19,0,0,0,0,9
21,0,0,0,0,9
25,0,30.7,0,0,9
24,0,0,0,0,9
26,0,37.3,0,0,9
23,0,0,0,0,9
23,0,0.1,0,0,9
23,0,13.6,0,0,9
21,0,81.4,0,0,9
23,0,26.1,0,0,9
22,0,4,0,0,9
22,0,17.3,0,0,9
20,0,0,0,0,9
20,0,0,0,0,9
23,0,0,0,0,9
24,0,64,0,0,9
27,0,3.9,0,0,9
27,0,0,0,0,9
27,0,5.7,0,0,9
23,0,47.9,0,0,9
22,0,3.5,0,0,9
22,0,85.1,0,0,10
21,0,32.2,0,0,10
22,0,1.8,0,0,10
22,0,3.1,0,0,10
23,0,24.7,0,0,10
24,0,21.6,0,0,10
23,0,50.2,0,0,10
23,0,39.4,0,0,10
22,0,10.7,0,0,10
18,0,0,0,0,10
18,0,0,0,0,10
20,0,0,0,0,10
25,0,46.9,0,0,10
24,0,0,0,0,10
26,0,34.8,0,0,10
22,0,0,0,0,10
